June,July,August,September,October,November,December,January,February,March,April,May
32.36401813255308,98.03365972885885,68.09082610305909,114.10381404140692,82.29908352344358,33.96171351869608,28.586774900701382,13.196411881838072,11.539556039152702,13.609901870396063,13.330790170436064,13.257783355583854
44.048867726361934,73.5424500907429,94.88482011180851,102.55390943265111,24.559144657595564,19.784930580828107,27.40043280430604,12.000419044992528,13.01804010239877,12.863582880943738,23.357034269685837,14.996528520486931
61.702172423190646,102.36246122986954,133.6031536514698,76.54978485826723,55.62365669782728,22.299323241777167,14.447115989137277,14.888775618559993,19.583677606167534,14.04492703636129,16.305646148289437,13.744254079441879
35.62965051804161,89.79043549680453,77.42882566488045,38.94185036558366,47.31465515520459,29.930647669670982,21.028438455362853,12.659956479355714,18.04505959583691,11.946904351902425,17.259730057015467,32.596092778158926
68.21786750149946,75.85173759956118,156.09530857313737,67.74426851080909,36.30455351477952,27.703191793433906,24.90187011985546,16.883080547871074,14.95012571979424,13.478074652300862,17.15662254708957,30.783974330627537
38.79815695133662,91.5295959363155,99.83842087838329,88.88828186367805,71.46123290135988,26.360310751445674,36.73764027199746,14.38100158920407,11.275463237231572,11.031364304295714,17.36617612191701,27.051386322167854
73.82398792221126,82.0852427909238,78.38810487974175,64.34966286704025,75.62967402387551,47.46720216010174,19.62262272106639,16.802667933528635,14.310740774904016,15.171730567566538,17.90027187812303,19.27183348741696
46.185844047109384,79.71007656919099,90.42183352880916,167.08946962613396,72.65911331018116,26.862785860098878,26.686414114671486,19.498722669630876,11.192721304874704,12.575195390772803,17.41180999661579,47.71776718233972
35.72435146580384,76.3800268767319,113.02782017836024,59.804990204636624,40.22523232349274,43.61396715192044,18.28261664945725,17.326649088436742,13.274924384812058,15.523898103969245,14.385796390015638,19.585724601591753
32.67873925384329,68.70544327587753,73.19312622671322,58.34827765263761,81.1714491451736,29.04881211420248,27.534909662022184,18.82821892562002,15.668057798102963,13.072835272294197,15.031957209486823,19.000980619389708
71.96379605007974,53.09075482483847,168.962326762596,66.57943718636008,75.42538272677137,28.264628939379186,15.732314979842661,15.481107227201468,21.50946784920411,17.36392762554415,15.72389986030272,13.108849816762065
28.21551232124601,77.51088166154736,96.28480014426101,146.71774743807572,59.603700480125305,44.88278482468498,28.373855965085493,15.036190725588929,12.912058463680994,7.505132259104183,13.168057451570899,37.06982440272335
26.872116203851235,76.49396163473767,109.87934965204812,74.75380417565303,53.33219251665157,29.908055922930732,18.14864067666305,16.061713170602342,12.468605603730126,11.251634655002583,13.471809603263857,30.043471053464323
45.15059058722537,69.61390749911693,74.19619014942478,108.24396378742165,60.419164398321314,35.86565005689183,21.093650550054683,20.185980480481337,12.898583037870598,15.935189631204311,19.588490475140006,34.88752426147419
46.850308271560166,81.61600334587918,109.9383291011608,56.246246303460424,47.55791529531651,43.74592540387337,17.247689784029642,14.293728490232679,15.607102739475012,11.39341555114978,16.96898124273166,16.962231949179635
42.28085533049532,91.11079508038581,111.82718673148429,87.6659566728288,56.47880397078473,65.5075722160458,29.811907505145246,12.972083415723063,13.667565320505023,12.666135808766217,13.634359550478187,34.92196170039431
48.44466889965651,46.3539367230922,79.06756670065893,83.50891970146931,60.129383759050654,42.29596940215261,20.332770433187108,11.210559507100324,9.856509724908275,12.902002424200395,30.028894061923708,21.521161917138652
